goodreads_id,title,author,my_rating,my_review,genres
17572327,The Princess Bride: S. Morgenstern's Classic Tale of True Love and High Adventure,William Goldman,2,"I've seen the movie, obviously, and it was fun. It's hard to disentangle the nostalgia of the movie from the reading experience. The novel certain has an interesting framing, with the story within a story, and the whole meta conversation. <br/><br/>But unique framings are not enough to get a high rating. Novels should be interesting or compelling or exciting or thoughtful or funny, or anything damn it. And I just don't know that I got much from this. I don't remember laughing at any point. I don't remember thinking deeply. I don't remember being excited or eagerly waiting so see what was next. <br/><br/>On top of this, the book has some real issues. Every female character in the entire novel is somehow utilized for her sex appeal. The starlet at the beginning exists exclusively to be sexy and tempt our main character, and to frame his as a powerful man in film. The lawyer at the ending exists exclusively to be sexy and tempt our main character. Before you protest that she has agency, any real conflict she brings to the story isn't her own, it's at the leisure of another man, Stephen King, to resolve. The countess in the book exists to be alluring and rich and to tempt the FMC's love interest. The FMC herself exists explicitly to be beautiful and sexy and tempt literally everyone. And the continuation in Buttercup's Baby is no improvement -- Indigo's love interest doesn't merely exist to be sexy, she is quite literally the explicit manifestation of his fantasies.<br/><br/>For a book that drones on and on about true love, it sure does manage to marginalize it. There's a fascinating aspect to love -- that we hold it in higher esteem when it is undeserved. <br/><br/>Reading this, I don't see any valuable love. I see cheap and obvious love. I find myself thinking, ""Oh, so you love the literal most beautiful woman on earth? Good for you, who wouldn't?"" ""Oh, so you love the man who beat the best fencer, then the most intelligent criminal, then the strongest giant, who became the rich and famous pirate captain, is a natural leader, owns boat, who braves death to find you, who's actual catchphrase is 'as you wish?'"" Girl, that's not love, that common sense.<br/><br/>It should be noted that our male love intrest is the smartest, strongest, and most capable man on earth, and our female love interest is a little dumb, but by golly she sure is the most physically attractive girl on earth. <br/><br/>I'm sure there is someone out there smiling at my naive inability to recognize satire when it stares me in the face, but I can hardly justify the label when the gross tropes are accompanied by no cutting bite.<br/><br/>I had originally given this 3 stars, but after thinking about it more, I've dropped to 2.<br/><br/><blockquote>I don't mind killing a girl. God does it all the time, and if it doesn't bother him, then why let it bother you.</blockquote>",Fantasy|Classics|Fiction|Romance|Humor|Adventure|Young Adult
569429,"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",Douglas Adams,3,,Science Fiction|Fiction|Humor|Fantasy|Comedy|Audiobook|Science Fiction Fantasy
6091075,"So Long, and Thanks for All the Fish (The Hitchhiker's Guide to the Galaxy, #4)",Douglas Adams,3,,Science Fiction|Fiction|Humor|Fantasy|Comedy|Science Fiction Fantasy|Audiobook
8694,"Life, the Universe and Everything (The Hitchhiker's Guide to the Galaxy, #3)",Douglas Adams,3,,Science Fiction|Fiction|Humor|Fantasy|Comedy|Audiobook|Classics
18068892,"The Restaurant at the End of the Universe (Hitchhiker's Guide, #2)",Douglas Adams,3,,Science Fiction|Fiction|Humor|Fantasy|Comedy|Audiobook|Classics
11,"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4,,Science Fiction|Fiction|Classics|Humor|Fantasy|Audiobook|Comedy
35031085,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,2,,Classics|Horror|Fiction|Science Fiction|Gothic|Fantasy|School
100365,"The Mote in God's Eye (Moties, #1)",Larry Niven,3,,Science Fiction|Fiction|Space Opera|Science Fiction Fantasy|Audiobook|Fantasy|Aliens
23681449,The Forever War,Joe Haldeman,3,,Science Fiction|Fiction|War|Space Opera|Classics|Science Fiction Fantasy|Military Fiction
350,Stranger in a Strange Land,Robert A. Heinlein,4,,Science Fiction|Fiction|Classics|Science Fiction Fantasy|Fantasy|Audiobook|Novels
17214,Starship Troopers,Robert A. Heinlein,4,,Science Fiction|Fiction|Classics|Military Fiction|War|Science Fiction Fantasy|Audiobook
16690,The Moon Is a Harsh Mistress,Robert A. Heinlein,4,,Science Fiction|Fiction|Classics|Science Fiction Fantasy|Audiobook|Fantasy|Politics
60784546,"Divine Rivals (Letters of Enchantment, #1)",Rebecca   Ross,3,"This was fun. Not quite 4, maybe 3.5? I enjoyed the premise and the build up, and I felt the author wrote with great feeling and clarity, if at times self-indulgently. The last 100 or so pages somewhat fizzled for me -- after the big reveal, I rather felt all the tension had gone. I can't say that I have emotional investment in any accept the two main characters. FMC's friends and her landlady haven't really left an impression on me. <br/><br/>I didn't love the details of the ending, nor FMC's reaction to her brother. How hard would it really have been to bring MMC? I know that later they try to explain it all away with the stress of breaking free of the mind control, but while it was happening I was pulled out of the story by how annoyed I was.<br/><br/>Overall, the book was quick and enjoyable and I wouldn't mind reading more from this author.",Fantasy|Romance|Young Adult|Romantasy|Audiobook|Fiction|Enemies To Lovers
222683998,The Summer War,Naomi Novik,4,,Fantasy|Novella|Fiction|Audiobook|Adult|Magic|Witches
214565614,The Buffalo Hunter Hunter,Stephen Graham Jones,3,"I read this book blind on recommendation from the person who recommended me The Incandescent. I did know that it was the horror genre, and a quick search told me (very, very wrongly) that the book had no gore.<br/><br/>Immediately, the writing was good. I think good writing speaks for itself, and it can make up for innumerable flaws. I didn't take as good notes as I meant to, but it has some moments where the language is just beautiful. There are some turns of phrase that are very suggestive without needing to spell everything out for you. I hugely appreciate an author that doesn't feel the need to hold your hand. At one point, he says he's worried about leaving the candles lit to come back to the church in flames, and his concern that he'll realize this is the proper home for one such as I. Which is a lovely sideways way of saying that he thinks that despite being a pastor, he deserves to burn in hell.<br/><br/>I like the indian's characterization of the crucifix. ""You put reminders of pain on the wall and pray to them. We still hurt, so we don't need that reminder.""<br/><br/>The writer captured the vibes really well. I don't know if I want to call it racism exactly, but the casual cultural ignorance and the pervasive stereotyping from all sides felt very accurate.<br/><br/>I can't say that I personally enjoyed the book. The characters we are reading about are ancient history, so there is no suspense and I can't be bothered to know what will happen to them. I wouldn't say the author telegraphs the plot, but if you are paying attention it is certainly obvious what is going to happen to grandpa. For horror, it certainly wasn't scary. Major, major gore warning.<br/><br/>3 starts because it was objectively good but I just didn't enjoy it and can't see myself recommending it to anyone.",Horror|Historical Fiction|Fiction|Vampires|Fantasy|Audiobook|Historical
217387935,The Incandescent,Emily  Tesh,4,"Quite a fun and inventive take on the endless magic school formula with some interesting musings on demons in the mix. The plot is rather telegraphed at times, but I don't think it is to the detriment of enjoyment. <br/><br/>""What I would say is morality is social. So it is very difficult to apply the rules of morality to an asocial creature.""<br/><br/>I quite liked how demons were handled. How they gained a sense of self based on how the defined themselves, and how you could have an imp that was a copy machine demon, and then ultimately (spoilers) you could have a demon embedded in a teacher for 15 years become the territorially protective warden of an entire school.<br/><br/>I definitely has some moments of frustration. Like, holy red flag when she ignored the girl who wanted to ask about the book. And good lord can she please just tell this girl her life story.. But we are dealing with a character who is deliberately portrayed as less socially capable than her peers. She is outclassed in teaching by that one guy, and then she is consistently a social failure in relationships, so it I let a few of these irritations slide, since they jived pretty well with the character.<br/><br/>In general, the character's internal dialogs are good and they are enjoyable. It's cheesy at times, but it's also fun. At no point do you feel like the characters are making decisions that someone with that personality wouldn't really make.<br/><br/>It's easy to get wrapped up in the story too. At one point I wrote, ""Man, you know you are in too deep when you get excited that she decides to wear her sleeveless dress _without_ the cardigan.""<br/><br/>Tldr, the plot was good, the characters were good, the relationship was tolerable, it had excitement, and the magic was nice. The conclusion was good and I liked the Phoenix and the demon mentality exploration. This is a safe recommendation for an easy read.",Fantasy|Dark Academia|Queer|LGBT|Fiction|Lesbian|Adult
61237044,"Infinity Gate (Pandominion, #1)",M.R. Carey,1,"What a transparently stupid book. A bunch of ill-considered ideas masquerading as plot. You could be forgiven for thinking the author spent literally no time whatsoever thinking through the characters, the plot, or the ramifications.<br/><br/>I really hate reading a book and feeling like it is full of obvious holes, where there are really obvious ways a character or society would act, but they simply don't, in service to some clearly manufactured plot device.<br/><br/>You know, sometimes you can forgive a book for having one or two plot holes, if it manages to have excitement or engaging characters, but Infinity Gate manages to have neither.<br/><br/>This book is just one long complaint. I wrote an endless number of angry notes while reading it, and I don't honestly want to dignify this book with the mental energy required to consolidate them into a meaningfully coherent review, so I'll just list them as I wrote them in chronological order.<br/><br/>There is a unique pain in reading 'smart' characters written by morons. If I was a masochist, I'd have been in heaven. The main character -- a focused scientist who discovers travel between worlds with the help of an AI, is tortuous to read. In my own personal day job, I work with a parade of physicists and scientists of all colors on the latest AI topics, and so I feel qualified in saying that our main character is grotesquely unbelievable. She bears no resemblance whatsoever to an intelligent human being. <br/><br/>After spending days and weeks on a problem which is her direct area of research, she fails to come up with a solution (mapping the worlds based on initializing parameters) that I'm sure every mildly attentive reader could have given her after a couple minutes reading about her dilemma. She has to have this trivial solution spoon fed to her by an AI which she is reluctant to use.<br/><br/>Did I mention that she is essentially in a life or death situation on a dying world, and she doesn't want the help of a genius AI? But let's talk about how the branching works. She finds what are supposedly very close branches and instead of finding minor variations on our world, she finds different sentient species.<br/><br/>So, the supposition is that worlds branch at quantum decisions, which means that for a world to have a non-ape sentient species, the first branching would have needed to be millions of years ago, and untold trillions of quantum branchings in the past. So almost by definition, there is no way that you go to a close world and end up with anything other than humans.<br/><br/>Although the book dresses up the many world's theory in the guise of scientific legitimacy, the structure isn't even internally consistent. The reason there are sentient rabbits and cats is not because it remotely makes sense based on the explanations and internal logic of the book. It's because the author thought it would be cool.<br/><br/>Which like, if you want to write a book about sentient rabbits, then go for it. But don't waste our time proposing a mechanism that would obviously never result in the outcome you propose.<br/><br/>Oh yea, and I forgot the weird virtue signaling at the beginning of the book. It opens with 10 solid minutes of deeply boring exposition, then immediately they have a conversation where an AI has a female name. After a throwaway comment where it is accused that the namer must have given an almost sentient AI a female name because they think at some level that women are also only 'almost' sentient, we are then told that every time you name your code something female, you are drawing upon a problematic history. Which, sure, the gendered naming of AI assistants is certainly an interesting topic, but holy virtue signaling batman.<br/><br/>Ok, so then we see her leave her sentient AI alone on a dying planet with a room full of science equipment and drones it can control, and her last thought is, ""wow I can't see how leaving a genius AI alone with the ability to travel the multiverse and send robots to other worlds could possibly result in anything happening"".<br/><br/>Which like...wow. And later in the book, you realize that this wasn't even a death flag. The author was really was uncreative enough to think that the AI really couldn't do anything useful. If you can think of how an AI with god-like levels of processing in a scientific laboratory with multi-universe access and a fleet of sensor loaded drones with audio outputs could possibly get anything done, then my own creativity is at a loss as how to respond.<br/><br/>Then, our main character decides not to do a memory backup, because she felt like she would be leaving a small part of herself here on the dead world as a prisoner, and she would then always feel herself to be incomplete. This is absolute trollops. ""Feel herself to be incomplete."" Excuse me, WHAT? Yea, I know that I personally feel like every time someone takes my photo, it's like something was stolen from me. What a stupid like of reasoning from our supposedly highly analytical researcher. <br/><br/>Of course, the real reason she is thinking these things is not because it makes sense for her character, or because this is a reasonable thing that a human being would think. The reason is because this author writes his characters however he has to so that plot can happen later. Spoiler alert, I have now finished the book, and this is absolutely why the author wrote it this way.<br/><br/>Ok, so then we are treated to the hooker-slave character who is so obviously just misery porn as to leave me completely unfeeling. It's kinda gross that the author trivializes the real people who experience these kinds of lives by exploiting a shallow facsimile of their stories in his book.<br/><br/>Anyway, if our genius scientist can be comfortably called dim witted, then our slum dweller is a certified moron. At least the author is consistent. So he has access to a literal unlimited money printing machine, and his bright idea is that he is going to sell it? What does he think is going to happen to inflation when raw materials become meaningless? <br/><br/>Then after shenanigans, we get our introduction to the Pandemonium. The, as usual, unbearably ill-considered pandemonium. I'm not sure where to begin with the economics of having literally infinite resources -- both physical capital. Why do they not let in her world since she discovered step travel? Why do they go to worlds and kill people? Why is there literally _any_ resource conflict when there are infinite worlds? Why do they not have more technology? Why is there no system in place for onboarding worlds? How could they possibly manage to maintain control over jumping?<br/><br/>It's just that as soon as you start actually thinking about any part of anything, you are left with a million questions, and the feeling that if there actually was a multiverse, it wouldn't be anything at all like how it is described.<br/><br/>And as the story goes on, it's not even internally consistent, much less externally consistent. As a way to hand wave the glaring absence of any technologies meaningfully more advanced than what we have on earth -- despite literally infinite worlds to commune with -- we are told that when the pandomonium encounters civilizations more advanced than them, they leave them alone and go their separate ways. ...and yet, they come to a planet of borderline magical level machine being that can generate new machines out of nothing, and they are like, ""yea, I know what to do. Let's pick a fight with a planet-wide, multiverse-spanning machine system that surpasses all our understanding.""<br/><br/>No they fucking wouldn't. You don't simultaneously let sleeping bears lie and stab dragons in the face. There is literally an infinite number of planets. What possible reason could they have to burn resources attacking one that is clearly outside their understanding? They would never have gotten to the point where there were 10s of thousands of member worlds if this was how they operated. The story is just dumb.<br/><br/>Once again, the simple explanation for how a multiverse-spanning empire makes such a transparently ridiculous decision is not because of political machinations, or convincing characters, or being backed into a corner...it's because the author thought that would make a fun book.<br/><br/>I still have another couple pages of notes where I complain about swam intelligences, idiot rabbit characters, inconsistency of magical machine reconstitution, helpless super AIs, and ridiculous plot devices...but I am rather horrified at how much ink I've already spilled over this travesty of a novel, so I'll cut it short here.<br/><br/>I don't literally hate myself, so I obviously didn't read the sequel, but I did read the plot summary on Wikipedia to satisfy my morbid curiosity. And wow, it sounds even dumber and more contrived than the book I just finished.<br/><br/>I actually was originally going to give this 2 stars, but after writing this review and being reminded of how deeply frustrating this entire book was, I don't see how it deserves anything better than 1.",Science Fiction|Fiction|Audiobook|Space Opera|Dystopia|Fantasy|Science Fiction Fantasy
215760525,"Livesuit (The Captive's War, #1.5)",James S.A. Corey,5,,Science Fiction|Fiction|Audiobook|Space Opera|Novella|Short Stories|Ebooks
1126719,House of Suns,Alastair Reynolds,4,,Science Fiction|Fiction|Space Opera|Audiobook|Fantasy|Space|Science Fiction Fantasy
89186,Pushing Ice,Alastair Reynolds,3,,Science Fiction|Fiction|Space Opera|Audiobook|Space|Aliens|Fantasy
37794149,"A Memory Called Empire (Teixcalaan, #1)",Arkady Martine,2,,Science Fiction|Fiction|Fantasy|Space Opera|Queer|LGBT|Audiobook
45154547,"A Desolation Called Peace (Teixcalaan, #2)",Arkady Martine,3,,Science Fiction|Fiction|Space Opera|Queer|LGBT|Fantasy|Audiobook
2845024,Anathem,Neal Stephenson,3,,Science Fiction|Fiction|Fantasy|Philosophy|Audiobook|Speculative Fiction|Science Fiction Fantasy
18747125,Solaris,Stanisław Lem,3,,Science Fiction|Fiction|Classics|Polish Literature|Philosophy|Audiobook|Fantasy
77711,"A Fire Upon the Deep (Zones of Thought, #1)",Vernor Vinge,2,,Science Fiction|Fiction|Space Opera|Science Fiction Fantasy|Fantasy|Space|Audiobook
201930181,"The Mercy of Gods (The Captive's War, #1)",James S.A. Corey,4,,Science Fiction|Fiction|Audiobook|Space Opera|Fantasy|Space|Aliens
195443798,Alien Clay,Adrian Tchaikovsky,3,"I'm a bit conflicted on this one. The plot and the ideas were engaging and interesting, if a little predictable. And I certainly enjoyed myself reading it. But the author made some kind of strange choices with the narration. Maybe a 3.5 overall?<br/><br/>He would occasionally switch from the normal in the action story to a breaking the fourth wall past tense narration. You would feel like you were in the middle of the action, but then the narrator would suddenly say something like, ""I didn't know it at the time, but ____ would be very important in my life later."" It's hard to know exactly what Tchaikovsky was going for here, but in almost every instance, what it did for me was clumsily take me out of the story and remove elements of suspense.<br/><br/>I guess what I'm saying is this is not a book to read strictly for the writing. It's a book about fascism and living inside of it, and the author does good work on at least talking about (if not always making me _feel_) the horrible isolation and perpetual distrust of living in a police state where intellectual non-orthodoxy is a literal crime, and anyone you know might be a betrayer.<br/><br/>He weaves this dynamic integrally into the plot, with the first half of the book being riddled with uncertainty and its associated failures, and the last half with the shared knowledge of Kiln. I loved his final conversation with the head of the camp, where he struggles to find words that can communicate the way the spores allow him. The way the little misunderstanding of spoken language seem like an insurmountable gap in comprehension.<br/><br/><br/>A couple of interesting quotes from the author:<br/>""The greatest privilege of power is being able to overlook that you are even wielding it""<br/>""Just because the tyrant is dressed as a clown doesn't make him funny""<br/><br/>These are quotes from his interview after the book:<br/>"" 'This could have been your greatest crowning achievement, but you chose to make it all about politics.' Thus says the politician when the scientist ventures an opinion"" <br/>""Authoritarian regimes tend to hate artists and intellectuals and academics, but at the same time, they really covet their endorsement and approval.""<br/><br/><br/>""It might seem odd, that a mild-mannered academic like me was also an active worker against the Mandate. But you’ve got to care about truth, haven’t you? I won’t say that the speeches didn’t move me, but it was the intellectual dishonesty of the whole orthodox thing that galled me into action. Science, as a creed, should care about truth. It shouldn’t be bent for political aims. You shouldn’t say there’s a Wild Man of Kiln when there’s clearly nothing of humanity about the place. And on such hills I die. That doubtless sounds stupid, to you who tell yourself you will take up arms when they starve your children, when they rob you of your goods, when they come for that demographic which includes you. But it’s deviation from truth that lets them do these things. It’s the lies, at all levels, which mean when they come for you and yours, the others won’t lift a finger, because they’ve believed the lies spread about you. It is the lies that starve your children because you believe the stories about general shortages, even though the grandees of the Mandate feast off gold plates every day of the year. And it is lies about science which cut most deeply, telling you that this or that group of people are naturally inferior, or another group has an innate ability to lead. That there is sufficient genetic distinction to make the call, when in actuality we share the vast bulk of our inheritance with mushrooms. Or else that, because of this kinship with mushrooms, our leaders are justified in keeping us in the dark and feeding us shit.""<br/><br/>Love this quote. ",Science Fiction|Fiction|Audiobook|Aliens|Horror|Dystopia|Fantasy
26892110,The Library at Mount Char,Scott  Hawkins,4,"This is a pretty easy recommendation, a solid 4.25. Unique and engaging story with a satisfying plot and good closure. <br/><br/>The ending was fun and really wrapped up the story nicely. I think the character writing is also pretty good. There were quite a few scenes that really spoke to me that I took note of while reading, like the realism of him cussing out the lion. <br/><br/>I like how they blend in the magical realism. There's a kind of interesting way that the lion's understand their own speech, but only partially understand Steve.<br/><br/>The fights are good too. They do a great job with David, both in the jail scene and in the house scene. I remember really enjoying the house scene. Both the action of it and the way that what he really excels at is murder, and not at actually saving everyone. I will say that I felt like there was one plot hole here -- why did the future girl never raise the red flag?<br/><br/>The writing in general was just really engaging. The way they slowly build up Carolyn. My intense dread as I wait for Steve to fuck everything up because of his _feelings_. The author switches points of views just the right amount and at just the right times to build suspense and action.<br/><br/>Overall a short, fun, and unique book. The sort of thing to get you out of a slump.",Fantasy|Horror|Fiction|Science Fiction|Audiobook|Mystery|Adult
34617904,Destiny Disrupted: A History of the World Through Islamic Eyes,Tamim Ansary,3,,History|Nonfiction|Islam|Religion|Middle East|Politics|World History
56132724,"The Woman They Could Not Silence: One Woman, Her Incredible Fight for Freedom, and the Men Who Tried to Make Her Disappear",Kate  Moore,5,,Nonfiction|History|Biography|Feminism|Book Club|Audiobook|Historical
12520340,"Autumn in the Heavenly Kingdom: China, the West, and the Epic Story of the Taiping Civil War",Stephen R. Platt,3,,History|China|Nonfiction|Asia|War|19th Century|Military History
48730899,Kaiju: Battlefield Surgeon,Matt Dinniman,3,"3.5 rounded down, mostly because I use fours as easy recommendations, and this definitely isn't. I enjoyed this book. It's exciting and fun in the same way that DCC is. It also feels much less rambling and never-ending -- it was so great to just read through, have fun, and finish the story. At times the gore was a bit too much for me, I skipped a couple parts, maybe about 5 minutes worth of the book?<br/><br/>As usual, I think Dinniman could really use an editor to tighten up some of the story lines and logic. Some of the stuff just felt kind of off. Like how we had a magic scalpel hand but then ditched it for the ascension knife. Or how I couldn't never quite get a grasp on whether he could shrug off insane monster attacks or if a 30 foot fall would break his bones.<br/><br/>I did think the story was fun -- the entire premise with the pods and being stuck in there with the half crazy girl. The twist at the end was fun. The very, very end was somewhere in between cringe and realistic.  <br/><br/>It was interesting to see the beginnings of DCC in the book. With an AI that wants to make the game solvable and NPCs that realize they are fake. However, it just wasn't quite realistically fleshed out (especially the part about his familiar realizing he wasn't real. I mean, I can definitely come up with some head canon about how he realized, but a couple progression notes dropped here and there might have been interesting).<br/><br/>I enjoyed the recording. The sound effects and occasionally music were actually quite well done and well integrated. I usually stay far away from books with scores, but this one really worked. I will say that it was hard a couple times to understand the kaiju, and that I missed a couple parts of dialog even after rewind.<br/><br/>So anyway, if you want some of the battles and excitement of DCC (but with much more gore and with less humor), this is a fun and quick read.",Fantasy|Horror|Audiobook|Science Fiction|Fiction|Humor|Science Fiction Fantasy
